Well,Omit,Sample,Target,Dye,Task,Cq,Quantity
M4,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
M5,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
M6,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
M7,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
M8,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
M9,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
M10,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
M11,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
M12,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
M13,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
M14,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
M15,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
M16,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
M17,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
M18,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
M19,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
M20,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
M21,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
M22,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
M23,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
M24,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
N1,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
N2,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
N3,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
N4,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
N5,false,sockeyeDUDA,chi1269,SYBR,Unknown,38.580464030480826,0.6502043119297591
N6,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
N7,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
N8,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
N9,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
N10,false,sockeyeDUDA,chi1269,SYBR,Unknown,28.471383263292516,616.4510885963539
N11,false,sockeyeDUDA,chi1269,SYBR,Unknown,29.41483208147271,325.146182311965
N12,false,sockeyeDUDA,chi1269,SYBR,Unknown,28.803652116338313,492.1012884069203
N13,false,sockeyeDUDA,chi1269,SYBR,Unknown,27.96539398435739,868.757719337316
N14,false,sockeyeDUDA,chi1269,SYBR,Unknown,27.853078508936918,937.5026911386296
N15,false,sockeyeDUDA,chi1269,SYBR,Unknown,28.06906956572348,809.7837236052889
N16,false,sockeyeDUDA,chi1269,SYBR,Unknown,24.816011643758593,7350.314881390369
N17,false,sockeyeDUDA,chi1269,SYBR,Unknown,25.41082714371349,4910.763173381279
N18,false,sockeyeDUDA,chi1269,SYBR,Unknown,25.572904671314532,4399.6849168741655
N19,false,sockeyeDUDA,chi1269,SYBR,Unknown,27.61776896327116,1099.6760618139854
N20,false,sockeyeDUDA,chi1269,SYBR,Unknown,27.319743946397423,1345.937881435423
N21,false,sockeyeDUDA,chi1269,SYBR,Unknown,27.64767692307077,1077.600271652268
N22,false,sockeyeDUDA,chi1269,SYBR,Unknown,29.863621785488363,239.840390364365
N23,false,sockeyeDUDA,chi1269,SYBR,Unknown,29.603663692744703,286.0703820103409
N24,false,sockeyeDUDA,chi1269,SYBR,Unknown,29.70663169531533,266.7789908448864
O1,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
O2,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
O3,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
O4,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
O5,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
O6,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
O7,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
O8,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
O9,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
O10,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
O11,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
O12,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
O13,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
O14,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
O15,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
O16,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
O17,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
O18,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
O19,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
O20,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
O21,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
O22,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
O23,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
O24,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
P1,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
